user,text,created_at
DrSJaishankar,"Discussed our wide-ranging sectoral cooperation, including in Trade &amp; Economy; Agriculture &amp; Food Security; Health &amp; Pharma; Energy &amp; Renewables; Infrastructure, ICT &amp; eGovernance; Development Partnership &amp; Capacity Building; Higher Education; Culture and P2P domains.",2023-04-21 18:55:34+00:00
DrSJaishankar,"Good to meet UN Secretary General @antonioguterres in New York today afternoon. 

Discussed the current developments in Sudan, G20 Presidency and Ukraine. https://t.co/6ZRANljEtg",2023-04-20 17:44:29+00:00
DrSJaishankar,"Co-chaired a productive 24th session of India-Russia Intergovernmental Commission for Trade, Economic, Scientific &amp; Cultural Cooperation. Thank DPM Denis Manturov and his delegation for the visit. https://t.co/z3MqxHji3m",2023-04-18 15:00:55+00:00
DrSJaishankar,"Addressed the India-Russia Business Dialogue 2023 today.  Thank Deputy PM Denis Manturov for joining me. 

A productive discussion on the opportunities and challenges in economic cooperation. 

Look forward to the Inter-Governmental discussions tomorrow. https://t.co/bqDJ9T7856",2023-04-17 13:06:21+00:00
MOFA_Taiwan,"No beating around the bush in Minister Wu’s @LBC interview with @AndrewMarr9! One thing #Ukraine🇺🇦 has taught #Taiwan🇹🇼 &amp; the world is that appeasement only invites aggression. Let’s not make the same mistake twice.
📰https://t.co/YU7BhA1xUa https://t.co/Ohmiq9ieUM",2023-04-21 11:24:52+00:00
CanadaFP,"RT @NATO: NATO Allies 🇨🇦🇳🇴🇵🇱 train Ukrainian recruits on Leopard tanks

The Polish-led programme is aimed at helping Ukraine uphold its rig…",2023-04-19 12:25:49+00:00
CanadaFP,"At the #G7 in Japan, Minister Joly met with her French counterpart, @MinColonna to discuss efforts to support #Ukraine in the long term and the need to ease tensions in the Indo-Pacific. https://t.co/oXjfTD58Kw",2023-04-18 16:05:52+00:00
CanadaFP,Joint Statement from the International Coordination and Response Group for the victims of Flight PS752 on the criminal trials in Iran: https://t.co/r4wIvPU9NR,2023-04-18 12:07:05+00:00
CanadaFP,"Today, Minister Joly participated in several working sessions with her #G7 counterparts. They discussed ongoing support to #Ukraine, the de-escalation of tensions and continued cooperation in the Indo-Pacific, and the situation in Iran. https://t.co/4S3n3Umofv",2023-04-17 20:30:11+00:00
CanadaFP,"Putin claims that Russia was forced to invade Ukraine to protect itself against #NATO expansion. This is just one of the false narratives that the Kremlin uses to justify Russia’s illegal invasion of Ukraine.

#StandWithUkraine https://t.co/vlW2QjjtI0",2023-04-17 14:54:27+00:00
CanadaFP,Minister Joly kicks off the #G7 FMM with #UK Secretary @JamesCleverly. Both discussed long-term support for Ukraine as it continues to fight for its freedom. Canada &amp; the U.K. have stood with the Ukrainian people since day 1 &amp; will continue to do so as long as it takes. https://t.co/Xn3QpIGZsO,2023-04-16 19:08:44+00:00
CanadaFP,"Min. Joly met with @FMParkJin, where they discussed the close friendship between Canada &amp; South Korea and committed to further deepening our ties. They also exchanged views on increasing security cooperation, our countries’ Indo-Pacific strategies &amp; Russia’s invasion of Ukraine. https://t.co/yz4sEp0SEd",2023-04-15 16:29:45+00:00
StateDept,".@StateDeputySpox: Russia’s obstruction of Black Sea Grain Initiative operations harms global food security by delaying shipments, restricting supplies, and keeping prices high for food-importing countries. Ukrainian grain should reach the world, unimpeded. https://t.co/tLW13GLd0u",2023-04-20 19:09:39+00:00
StateDept,"RT @usosce: Last Friday, a missile strike by Russia’s forces on Ukraine’s city of Sloviansk hit a residential neighborhood.  The attack kil…",2023-04-20 15:33:15+00:00
StateDept,"RT @USAmbKyiv: Proud of the concrete ways the United States stands with Ukraine – through @USAID and @USTreasury, we’re supporting the cont…",2023-04-19 12:16:27+00:00
StateDept,Another example of how critical the Black Sea Grain Initiative is to global food security. Ukraine’s grain is reaching nearly 4 million people in Yemen who are food insecure through @WFP  humanitarian aid and @USAID  assistance. https://t.co/CocpWdHsMW,2023-04-18 19:48:35+00:00
StateDRL,"RT @StateDeputySpox: We join family, friends, and supporters globally in demanding the immediate release of Vladimir Kara-Murza who Russian…",2023-04-17 13:54:07+00:00
StateDRL,RT @StateDeputySpox: Tomorrow will mark one year since Russian pro-democracy activist and politician Vladimir Kara-Murza was arrested in Mo…,2023-04-10 20:15:09+00:00
StateDRL,RT @USEnvoyIran: We are closely following news of Toomaj Salehi’s treatment in detention. He should be released immediately and provided wi…,2023-04-07 22:19:20+00:00
StateDRL,RT @USEmbassySyria: No amount of Russian and regime disinformation can refute the facts and the thorough analysis of expert OPCW investigat…,2023-04-07 20:32:01+00:00
StateDRL,RT @USUNSpox: The US joined Canada and more than 45 other countries in responding to Russia's UN meeting today on the unlawful forced depor…,2023-04-05 15:48:15+00:00
IRIMFA_EN,"🔽Iranian FM &amp; his counterpart from the UAE Sheikh Abdullah bin Zayed Al Nahyan, held a phone conversation,during which they offered congratulations to one another on the occasion of Eid al-Fitr &amp; discussed issues of bilateral, regional &amp; international significance. https://t.co/wCsYsVFMNt",2023-04-22 07:26:51+00:00
IRIMFA_EN,"The foreign ministers of Jordan, Libya, the United Arab Emirates, Kyrgyzstan, Iraq, Indonesia, Pakistan, Qatar, Kuwait, Oman, Tajikistan, Uzbekistan, Algeria and Saudi Arabia have in separate messages congratulated Iranian Foreign Minister Hossein Amirabdollahian on Eid ul-Fitr. https://t.co/sdV6u7Mskg",2023-04-21 18:52:36+00:00
IRIMFA_EN,⏺️ The Iranian foreign minister also stressed the need for the leaders of Muslim nations to join in efforts to strengthen solidarity among Muslims and help with the progress of Islamic countries.,2023-04-21 18:40:04+00:00
